times,alternator currents,battery currents,velocities
1481,0,-21.42638506,5.132813586
1482,0,-21.42638506,6.941984938
1483,0,-21.42638506,8.556211668
1484,0,-21.42638506,9.878727257
1485,0,-21.42638506,11.41967182
1486,0,-21.42638506,12.58164581
1487,0,-21.42638506,14.09162084
1488,0,-21.42638506,16.08163456
1489,0,-21.42638506,18.62370695
1490,0,-21.42638506,21.74368975
1491,0,-21.42638506,25.19904536
1492,0,-21.42638506,28.86503124
1493,0,-21.42638506,32.55387132
1494,0,-21.42638506,35.84336345
1495,0,-21.42638506,39.06925688
1496,0,-21.42638506,42.07964533
1497,0,-21.42638506,44.67000929
1498,0,-21.42638506,46.66728124
1499,0,-21.42638506,48.45085757
1500,0,-21.42638506,50.01616356
1501,0,-21.42638506,51.11561754
1502,0,-21.42638506,51.89954675
1503,0,-21.42638506,52.58773799
1504,0,-21.42638506,53.18913051
1505,0,-21.42638506,53.81964701
1506,0,-21.42638506,54.36538593
1507,0,-21.42638506,54.8455803
1508,0,-21.42638506,55.36104351
1509,0,-21.42638506,55.98334046
1510,0,-21.42638506,56.75187859
1511,0,-21.42638506,57.80051863
1512,0,-21.42638506,59.26400963
1513,0,-21.42638506,61.14843275
1514,0,-21.42638506,63.40190658
1515,0,-21.42638506,65.85183256
1516,0,-21.42638506,68.19371722
1517,0,-21.42638506,69.88155176
1518,0,-21.42638506,71.29377865
1519,0,-21.42638506,72.42535735
1520,0,-21.42638506,73.21506506
1521,0,-21.42638506,73.79689686
1522,0,-21.42638506,74.1412425
1523,0,-21.42638506,74.27333086
1524,0,-21.42638506,74.04704866
1525,0,-21.42638506,73.36165549
1526,-62.84983206,41.41382803,71.86676553
1527,-101.3706969,79.92879735,69.81707024
1528,-101.3706969,79.92879735,67.44557992
1529,-101.3706969,79.92879735,65.0976516
1530,-101.3706969,79.92879735,63.06945774
1531,-101.3706969,79.92879735,61.5070577
1532,-50.68534843,29.25120614,60.41892998
1533,0,-21.42638506,59.89521898
1534,0,-21.42638506,59.2806636
1535,0,-21.42638506,60.23299933
1536,0,-21.42638506,61.76500101
1537,0,-21.42638506,63.98063312
1538,0,-21.42638506,66.6927988
1539,0,-21.42638506,69.78183014
1540,0,-21.42638506,73.12605218
1541,0,-21.42638506,76.586139
